model,suite,task_id,episode_id,task_description,perturbation,clean_success,corrupt_success,clean_ratio,corrupt_ratio,clean_iou,corrupt_iou,delta_success,delta_visual_ratio,delta_iou,vci,gri,delta_ratio_early,delta_iou_early,delta_ratio_mid,delta_iou_mid,delta_ratio_late,delta_iou_late,delta_ratio_slope,delta_iou_slope
DreamZero,libero_90_act,7,0,open the top drawer of the cabinet,shuffle,0.0,1.0,0.565057034118819,0.5460947754323513,,,1.0,-0.018962258686467726,,-0.018962258686467726,,0.013991788966216334,,-0.021504814081888868,,-0.0519997209128753,,-0.06599150987909164,
DreamZero,libero_90_act,7,0,open the top drawer of the cabinet,opposite,0.0,1.0,0.565057034118819,0.5477195960608948,,,1.0,-0.017337438057924204,,-0.017337438057924204,,-0.0030148448022163654,,-0.005387285266686748,,-0.04745114925932037,,-0.044436304457104,
DreamZero,libero_90_act,7,1,open the top drawer of the cabinet,empty,1.0,1.0,0.5418595545348434,0.5479848584440142,,,0.0,0.006125303909170876,,0.006125303909170876,,0.0013080779398255693,,-0.00343045734650238,,0.022238279117493542,,0.020930201177667973,
DreamZero,libero_90_act,7,1,open the top drawer of the cabinet,random,1.0,1.0,0.5418595545348434,0.5616987554387598,,,0.0,0.019839200903916443,,0.019839200903916443,,0.021975577220544773,,-0.002913625041989887,,0.04045565053319444,,0.01848007331264967,
DreamZero,libero_90_act,7,1,open the top drawer of the cabinet,synonym,1.0,0.0,0.5418595545348434,0.5603440863533522,,,-1.0,0.018484531818508843,,0.018484531818508843,,0.02410508768253017,,0.001649923389293373,,0.029698584383703208,,0.00559349670117304,
DreamZero,libero_90_act,7,1,open the top drawer of the cabinet,shuffle,1.0,0.0,0.5418595545348434,0.5669666695936751,,,-1.0,0.025107115058831786,,0.025107115058831786,,0.0389729866567643,,0.005683095871659716,,0.03068444535341741,,-0.008288541303346886,
DreamZero,libero_90_act,7,1,open the top drawer of the cabinet,opposite,1.0,1.0,0.5418595545348434,0.554890158919038,,,0.0,0.013030604384194677,,0.013030604384194677,,-0.0025093808534775164,,0.001505612232749809,,0.04009558177331207,,0.04260496262678959,
DreamZero,libero_90_act,8,0,stack the black bowl at the front on the black bowl in the middle,empty,0.0,0.0,0.5610431302532425,0.5734138289763445,,,0.0,0.012370698723102036,,0.012370698723102036,,0.018701262308616684,,-0.00559771560499378,,0.023213352259704223,,0.004512089951087539,
DreamZero,libero_90_act,8,0,stack the black bowl at the front on the black bowl in the middle,random,0.0,1.0,0.5610431302532425,0.5562811705082734,,,1.0,-0.004761959744969069,,-0.004761959744969069,,-0.006960365998148421,,-0.008647014141896725,,0.0017424787568197653,,0.008702844754968186,
DreamZero,libero_90_act,8,0,stack the black bowl at the front on the black bowl in the middle,synonym,0.0,1.0,0.5610431302532425,0.5309440893868482,,,1.0,-0.030099040866394255,,-0.030099040866394255,,-0.023354288973630455,,-0.03983963656501699,,-0.02789839426651397,,-0.004544105292883516,
DreamZero,libero_90_act,8,0,stack the black bowl at the front on the black bowl in the middle,shuffle,0.0,1.0,0.5610431302532425,0.5407660006501429,,,1.0,-0.020277129603099575,,-0.020277129603099575,,-0.009604248523447434,,-0.036299509361388815,,-0.015963542107176765,,-0.006359293583729331,
DreamZero,libero_90_act,8,0,stack the black bowl at the front on the black bowl in the middle,opposite,0.0,1.0,0.5610431302532425,0.5554989501731259,,,1.0,-0.00554418008011659,,-0.00554418008011659,,-0.015200387159992723,,-0.0029764228657156444,,0.0016050270772995923,,0.016805414237292315,
DreamZero,libero_90_act,8,1,stack the black bowl at the front on the black bowl in the middle,empty,1.0,1.0,0.548553991700581,0.5560659774701038,,,0.0,0.007511985769522833,,0.007511985769522833,,0.005420826238933696,,0.0014450613325054373,,0.01638420054756029,,0.010963374308626594,
DreamZero,libero_90_act,8,1,stack the black bowl at the front on the black bowl in the middle,random,1.0,0.0,0.548553991700581,0.5769713595667509,,,-1.0,0.028417367866169996,,0.028417367866169996,,0.03487325223203963,,0.016026841231527422,,0.03423727200190596,,-0.0006359802301336703,
DreamZero,libero_90_act,8,1,stack the black bowl at the front on the black bowl in the middle,synonym,1.0,1.0,0.548553991700581,0.5364262693959898,,,0.0,-0.012127722304591138,,-0.012127722304591138,,-0.0126704652545101,,-0.007735595876194878,,-0.015535835948269572,,-0.0028653706937594725,
DreamZero,libero_90_act,8,1,stack the black bowl at the front on the black bowl in the middle,shuffle,1.0,0.0,0.548553991700581,0.5625453112304046,,,-1.0,0.013991319529823687,,0.013991319529823687,,0.020823674402111747,,0.004278710388564866,,0.016735024634642492,,-0.004088649767469255,
DreamZero,libero_90_act,8,1,stack the black bowl at the front on the black bowl in the middle,opposite,1.0,0.0,0.548553991700581,0.5731899021835013,,,-1.0,0.024635910482920353,,0.024635910482920353,,0.028621015421162688,,0.007226234599298165,,0.039515500179637564,,0.010894484758474876,
DreamZero,libero_90_act,9,0,stack the middle black bowl on the back black bowl,empty,0.0,0.0,0.5750610191211625,0.5723343554315415,,,0.0,-0.002726663689620934,,-0.002726663689620934,,0.011578762467704729,,-0.006749873044602728,,-0.013008880491964914,,-0.024587642959669642,
DreamZero,libero_90_act,9,0,stack the middle black bowl on the back black bowl,random,0.0,0.0,0.5750610191211625,0.5785133743665812,,,0.0,0.003452355245418759,,0.003452355245418759,,0.02332686211928181,,-0.004647378663643953,,-0.008322417719381692,,-0.0316492798386635,
DreamZero,libero_90_act,9,0,stack the middle black bowl on the back black bowl,synonym,0.0,1.0,0.5750610191211625,0.5251476751816565,,,1.0,-0.04991334393950597,,-0.04991334393950597,,-0.025182790186214166,,-0.07265722115872408,,-0.05086528340338947,,-0.025682493217175306,
DreamZero,libero_90_act,9,0,stack the middle black bowl on the back black bowl,shuffle,0.0,0.0,0.5750610191211625,0.5616818660956862,,,0.0,-0.01337915302547632,,-0.01337915302547632,,0.007169458757157909,,-0.011066823885493515,,-0.036256798772893895,,-0.043426257530051804,
DreamZero,libero_90_act,9,0,stack the middle black bowl on the back black bowl,opposite,0.0,0.0,0.5750610191211625,0.5768711776594272,,,0.0,0.0018101585382647167,,0.0018101585382647167,,0.020341598354146728,,-0.00981043365216272,,-0.004765316540175868,,-0.025106914894322596,
DreamZero,libero_90_act,9,1,stack the middle black bowl on the back black bowl,empty,0.0,0.0,0.5564563541745298,0.5761488832747077,,,0.0,0.019692529100177936,,0.019692529100177936,,0.009449890005907124,,0.02687137023162689,,0.022064877608274025,,0.0126149876023669,
DreamZero,libero_90_act,9,1,stack the middle black bowl on the back black bowl,random,0.0,0.0,0.5564563541745298,0.5782692871203039,,,0.0,0.021812932945774133,,0.021812932945774133,,-0.0019452406182316473,,0.06321928980514202,,0.005376969352019811,,0.007322209970251459,
DreamZero,libero_90_act,9,1,stack the middle black bowl on the back black bowl,synonym,0.0,0.0,0.5564563541745298,0.5508487515836504,,,0.0,-0.005607602590879335,,-0.005607602590879335,,-0.017855146916109454,,0.012739707907436948,,-0.012741581974877403,,0.005113564941232052,
DreamZero,libero_90_act,9,1,stack the middle black bowl on the back black bowl,shuffle,0.0,0.0,0.5564563541745298,0.5628548411165325,,,0.0,0.006398486942002735,,0.006398486942002735,,-0.005361833218623824,,0.03527687161792903,,-0.011156429794531242,,-0.005794596575907418,
